date,open,high,low,close,adjclose,volume
1996-12-01,75.921875,76.578125,71.875,73.84375,48.090145111083984,34952800
1997-01-01,74.375,79.6875,72.75,78.40625,51.312374114990234,43623700
1997-02-01,78.71875,82.0,77.125,79.15625,51.80320358276367,30028800
1997-03-01,78.75,81.796875,75.25,75.375,49.32862091064453,37514300
1997-04-01,75.25,80.6875,73.3125,80.09375,52.61750411987305,57679300
1997-05-01,80.21875,85.5625,79.3125,85.15625,55.943302154541016,37473400
1997-06-01,85.34375,90.5,84.078125,88.3125,58.01676940917969,47332500
1997-07-01,88.5,96.03125,88.390625,95.3125,62.85921859741211,65359700
1997-08-01,95.5,96.625,89.34375,90.375,59.60293197631836,99046800
1997-09-01,90.6875,96.375,90.25,94.375,62.24095153808594,78642200
1997-10-01,95.25,98.5,84.375,92.0625,60.938560485839844,137440500
1997-11-01,93.1875,96.8125,90.09375,95.625,63.29668045043945,93157400
1997-12-01,96.21875,99.0,92.375,97.0625,64.24821472167969,79162300
1998-01-01,97.3125,99.5625,90.90625,98.3125,65.33454132080078,104582300
1998-02-01,99.90625,105.53125,99.71875,105.125,69.86186218261719,69733700
1998-03-01,105.25,111.53125,103.15625,109.9375,73.0600357055664,87316900
1998-04-01,110.3125,113.4375,107.625,111.34375,74.20719909667969,118629400
1998-05-01,111.75,113.3125,107.578125,109.03125,72.6659927368164,116264800
1998-06-01,108.96875,114.6875,107.5,113.3125,75.51931762695312,141993600
1998-07-01,114.0625,119.234375,111.3125,111.78125,74.73583984375,155280200
1998-08-01,111.78125,112.421875,95.0,96.0,64.1846694946289,268542800
1998-09-01,96.0625,107.0,93.625,101.75,68.02903747558594,269370500
1998-10-01,100.03125,110.90625,92.21875,110.0,73.8046646118164,249152700
1998-11-01,110.8125,119.71875,110.1875,116.125,77.91424560546875,136369000
1998-12-01,116.125,124.75,113.75,123.3125,82.73670959472656,156026700
1999-01-01,123.375,128.5,120.375,127.65625,85.93572235107422,141419000
1999-02-01,128.6875,128.84375,121.328125,123.5625,83.17986297607422,164624900
1999-03-01,123.65625,132.625,121.78125,128.375,86.41954040527344,148191100
1999-04-01,129.6875,137.5,128.125,133.25,89.91886901855469,156755700
1999-05-01,133.4375,138.0,128.0,130.203125,87.8628158569336,182566900
1999-06-01,130.125,137.5,128.015625,137.0,92.44945526123047,160692200
1999-07-01,137.0,142.25,132.5625,132.75,89.85192108154297,115669100
1999-08-01,132.75,138.78125,127.0,132.0625,89.38658142089844,142925900
1999-09-01,132.9375,136.625,125.5625,128.75,87.1445083618164,167972700
1999-10-01,127.9375,137.6875,123.4375,137.0,92.98969268798828,196829400
1999-11-01,136.5,143.0,134.59375,139.28125,94.53811645507812,125042200
1999-12-01,139.3125,147.5625,139.0,146.875,99.69242095947266,121529300
2000-01-01,148.25,148.25,135.0,139.5625,94.9615249633789,156770800
2000-02-01,139.75,144.5625,132.71875,137.4375,93.51561737060547,186938300
2000-03-01,137.625,155.75,135.03125,150.375,102.318603515625,247594900
